title,genre,release,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
StarWarsEp.VIII:TheLastJedi,Action,20171213,0.0,200000000,220009584,619483244,1321513738,1.10004792,-0.5514410148068801,2.5344006482674564,5.937486705209257,13.85793304387909
BlackPanther,Action,20180216,0.0,200000000,202003951,561697180,1078297180,1.010019755,-0.5514410148068801,2.5344006482674564,5.403918966707365,12.790797566875305
Thor:Ragnarok,Action,20171103,82.0,180000000,122744989,315034967,850630090,0.6819166055555556,2.238830103497994,2.195216616217798,3.055208143247427,10.544463006210645
BeautyandtheBeast,Musical,20170317,0.0,160000000,174750616,504014165,1263109573,1.09219135,-0.5514410148068801,1.8560325841681402,4.596310574234605,10.49721271783047
Spider-Man:Homecoming,Action,20170707,80.0,175000000,117027503,334201140,880206511,0.6687285885714286,2.170774710368607,2.110420608205384,2.8857797163247954,10.052754751223581
GuardiansoftheGalaxyVol2,Action,20170505,0.0,200000000,146510104,389813101,863197744,0.73255052,-0.5514410148068801,2.5344006482674564,3.759448792037025,9.501857217534626
JusticeLeague,Action,20171117,0.0,300000000,93842239,229007315,655936466,0.3128074633333333,-0.5514410148068801,4.230320808515746,2.198722011713725,8.076323817136316
It,Horror,20170908,76.33,35000000,123403419,327481748,697459228,3.5258119714285714,2.0458930639761816,-0.2638676161422224,3.074719648678078,7.931464745190115
Logan,Action,20170303,83.67,127000000,88411916,226277068,615577068,0.6961568188976378,2.295656356761033,1.2963789312862044,2.037803194672146,7.667641677391529
TheFateoftheFurious,Action,20170414,0.0,250000000,98786705,225764765,1237466026,0.39514682,-0.5514410148068801,3.382360728391601,2.3452432443590587,7.521406202302838
Coco,Musical,20171122,87.67,175000000,50802605,208845284,739188107,0.2903006,2.431767143019807,2.110420608205384,0.9233122452629065,6.388812241751004
Dunkirk,Action,20170721,89.0,150000000,50513488,188373161,499518504,0.3367565866666667,2.477023979450849,1.6864405681433112,0.9147447317601902,5.99295401111454
PiratesoftheCaribbean:DeadMenTe…,Adventure,20170526,0.0,230000000,62983253,172558876,794758876,0.2738402304347826,-0.5514410148068801,3.043176696341943,1.2842659982827307,5.060267678100525
Kong:SkullIsland,Adventure,20170310,0.0,185000000,61025472,168052812,561137727,0.32986741621621624,-0.5514410148068801,2.2800126242302126,1.2262503328155974,4.181072275054527
Transformers:TheLastKnight,Action,20170621,0.0,217000000,44680073,130168683,603968683,0.20589895391705068,-0.5514410148068801,2.8227070755096655,0.7418809368970485,3.755027934496882
Cars3,Adventure,20170615,0.0,175000000,53688680,152901115,383601115,0.30679245714285713,-0.5514410148068801,2.110420608205384,1.0088363982264177,3.576652389851339
Alien:Covenant,Horror,20170519,66.0,97000000,36160621,74262031,238862031,0.37278990721649485,1.6943869584628968,0.7876028832117173,0.4894207908463418,3.4608314233672974
WarforthePlanetoftheApes,Action,20170714,0.0,152000000,56262929,146880162,490280162,0.37015084868421055,-0.5514410148068801,1.720358971348277,1.085120093293998,3.3391581431293926
DespicableMe3,Adventure,20170630,0.0,75000000,72434025,264624300,1034542646,0.965787,-0.5514410148068801,0.41450044795709357,1.564324302433271,2.991708038016755
TheMummy,Adventure,20170609,0.0,195000000,31668375,80101125,410333326,0.16240192307692308,-0.5514410148068801,2.4496046402550418,0.3563003646433768,2.610764354734915
TheBossBaby,Adventure,20170331,0.0,125000000,50198902,175003033,492317334,0.401591216,-0.5514410148068801,1.2624605280812387,0.9054224857394946,2.5218644847533476
BladeRunner2049,Thriller/Suspense,20171006,0.0,185000000,32753122,92054159,259103376,0.1770439027027027,-0.5514410148068801,2.2800126242302126,0.3884450831121311,2.5054617756475945
Ferdinand,Adventure,20171215,65.33,111000000,13401586,83362967,290151548,0.120735009009009,1.671588401764552,1.025031705646478,-0.18500630846393595,2.3266074904831577
Split,Horror,20170120,70.0,5000000,40010975,138141585,278449984,8.002195,1.830497744721671,-0.7726436642167094,0.6035197884329145,2.2648936573707905
Wonder,Drama,20171117,77.0,20000000,27547866,132221523,295514690,1.3773933,2.0686916206745263,-0.5182556401794659,0.23419576167792183,2.018827503850904
Annabelle:Creation,Horror,20170811,65.67,15000000,35006404,102092201,305492201,2.333760266666667,1.683157818596548,-0.6030516481918804,0.4552174415705658,1.9905410535457992
TheLegoBatmanMovie,Adventure,20170210,0.0,80000000,53003468,175750384,310940997,0.66254335,-0.5514410148068801,0.49929645596950806,0.9885312516517676,1.924917944466163
PowerRangers,Action,20170324,0.0,120000000,40300288,85364450,142364450,0.33583573333333333,-0.5514410148068801,1.1776645200688243,0.6120931100778242,1.8504097254175926
Annihilation,Thriller/Suspense,20180223,81.67,55000000,11071584,26246833,26246833,0.20130152727272727,2.2276009636316454,0.07531641590743555,-0.2540521397237915,1.794813100091498
Kingsman:TheGoldenCircle,Action,20170922,0.0,104000000,39023010,100234838,408834838,0.37522125,-0.5514410148068801,0.9063172944290977,0.5742430476058067,1.503362374833831
ValerianandtheCityofaThousandP…,Adventure,20170721,0.0,180000000,17007624,40479370,215116144,0.0944868,-0.5514410148068801,2.195216616217798,-0.07814721938820689,1.487481162634504
KingArthur:LegendoftheSword,Adventure,20170512,0.0,175000000,15371270,39175066,140012608,0.08783582857142858,-0.5514410148068801,2.110420608205384,-0.12663791689206724,1.305703759614369
Life,Thriller/Suspense,20170324,62.33,58000000,12501936,30234022,101003310,0.21555062068965516,1.5695053120704712,0.12619402071488425,-0.21166597746547716,1.2723673778544011
FistFight,Comedy,20170217,78.0,25000000,12201873,32187017,40287017,0.48807492,2.10271931723922,-0.4334596321670514,-0.2205578579296682,1.228143969212832
AWrinkleinTime,Adventure,20180309,0.0,103000000,33123609,33123609,39423609,0.3215884368932039,-0.5514410148068801,0.8893580928266147,0.3994238646264689,1.1367648072726724
FiftyShadesDarker,Drama,20170210,0.0,55000000,46607250,114434010,381081967,0.8474045454545455,-0.5514410148068801,0.07531641590743555,0.7989897024474105,1.1218548059953766
Jumanji:WelcometotheJungle,Adventure,20171220,0.0,90000000,36169328,397250265,934106524,0.40188142222222223,-0.5514410148068801,0.6688884719943371,0.4896788086732705,1.096805074533998
TheGreatWall,Action,20170217,0.0,150000000,18469620,45157105,334550106,0.1231308,-0.5514410148068801,1.6864405681433112,-0.03482333849944211,1.0653528763375468
Geostorm,Action,20171020,29.33,100000000,13707376,33700160,220800160,0.13707376,0.4465913254355828,0.8384804880191661,-0.1759447176408589,0.933182378173031
ChasingtheDragon,Action,20170928,0.0,200000000,138346,456854,86855981,0.00069173,-0.5514410148068801,2.5344006482674564,-0.5780409200217655,0.826877793417045
mother!,Thriller/Suspense,20170913,70.33,33000000,7534673,17800004,42558972,0.22832342424242424,1.84172688458802,-0.29778601934718824,-0.35886276224133734,0.8262153407581571
Chapter&Verse,Drama,20170208,79.67,40000000,32713,84147,84147,0.000817825,2.159545570502258,-0.17907160812980794,-0.5811711826968501,0.8181315969787499
Downsizing,Comedy,20171222,57.0,68000000,4954287,24449754,39178452,0.07285716176470589,1.3881376893806545,0.29578603673971327,-0.435328317353004,0.8132670914143599
Baywatch,Comedy,20170525,37.0,60000000,18503871,58060186,176533570,0.30839785,0.7075837580867826,0.16011242391985006,-0.03380836565114356,0.8000794507043456
Hostiles,Western,20171222,70.33,55000000,22849,29614666,30801855,0.0004154363636363636,1.84172688458802,0.07531641590743555,-0.581463486342747,0.7541163278099614
Ballerina,Adventure,20170825,74.0,30000000,4730038,21858070,96923070,0.15766793333333334,1.9666085309804455,-0.3486636241546369,-0.44197357285672945,0.7339977611123498
Stronger,Drama,20170922,79.0,30000000,1611040,4211129,5003992,0.05370133333333333,2.1367470138039133,-0.3486636241546369,-0.5344000212494033,0.7192833471504696
Snatched,Comedy,20170512,41.67,42000000,19542248,45852178,57852177,0.46529161904761906,0.8664931010439018,-0.14515320492484213,-0.003037746945187517,0.7152644022286846
Detroit,Drama,20170728,78.33,34000000,350190,16790139,21545532,0.010299705882352942,2.1139484571055687,-0.28082681774470536,-0.5717632665788016,0.6895951062032601
FiftyShadesFreed,Drama,20180209,0.0,55000000,38560195,98382615,359382615,0.7010944545454545,-0.5514410148068801,0.07531641590743555,0.5605282755178299,0.6449319521362152
Stalker,Drama,20170515,90.5,1,20540,268101,285044,20540.0,2.5280655242978893,-0.8574396552699224,-0.5815319098137909,0.5075620494003852
GhostintheShell,Action,20170331,0.0,110000000,18676033,40563557,167918847,0.16978211818181818,-0.5514410148068801,1.008072504043995,-0.028706623935317033,0.3992182413664809
"I,Tonya",Black Comedy,20171208,81.0,11000000,264155,29509813,45709813,0.02401409090909091,2.2048024069333003,-0.670888454601812,-0.5743127743013021,0.3852884037288842
Daddy’sHome2,Comedy,20171110,0.0,70000000,29651193,104029443,176154137,0.4235884714285714,-0.5514410148068801,0.3297044399446791,0.29652444685771917,0.3713123188532373
T2:Trainspotting,Drama,20170317,73.0,18000000,170575,2402004,42074024,0.009476388888888888,1.9325808344157518,-0.5521740433844318,-0.5770858658648704,0.22623505930157917
Raw,Horror,20170310,80.33,3500000,24825,514870,3104666,0.007092857142857143,2.182003850234956,-0.7980824666204338,-0.5814049307867564,0.2211115220410096
Chuck,Action,20170527,82.0,615,34565,322005,369123,56.203252032520325,2.238830103497994,-0.8574292423201384,-0.5811163016797981,0.21916825781825922
MonsterTrucks,Adventure,20170113,0.0,125000000,10950705,33370166,61681268,0.08760564,-0.5514410148068801,1.2624605280812387,-0.2576341928880635,0.19575112749823154
Unforgettable,Thriller/Suspense,20170421,67.0,12000000,4785431,11368012,15668012,0.3987859166666667,1.7284146550275903,-0.6539292529993291,-0.4403320911193845,0.19382121978949207
Marshall,Drama,20171013,69.0,12000000,3000805,10051659,10111433,0.25006708333333333,1.7964700481569775,-0.6539292529993291,-0.4932165889258031,0.15610761730604228
"Everything,Everything",Drama,20170519,54.0,10000000,11727390,34121140,45858330,1.172739,1.2860545996865738,-0.6878476562042949,-0.23461839227842413,0.12897015892543062
Jigsaw,Horror,20171027,44.0,10000000,16640452,38052832,102630330,1.6640452,0.9457776340396378,-0.6878476562042949,-0.08902776625269185,0.07987444532995919
Flatliners,Thriller/Suspense,20170929,56.33,20000000,6574326,16883115,45075341,0.3287163,1.3653391326823097,-0.5182556401794659,-0.387321088419988,0.07244131566286771
xXx:ReturnofXanderCage,Action,20170120,0.0,85000000,20130142,44898413,345114933,0.2368252,-0.5514410148068801,0.5840924639819226,0.014383538496920043,0.06141852616888256
MurderontheOrientExpress,Drama,20171110,0.0,55000000,28681472,102826543,349213586,0.5214813090909091,-0.5514410148068801,0.07531641590743555,0.26778833738865504,0.059452075877865496
Raees,Action,20170125,68.5,9645980,1798379,2369469,5429008,0.1864381846116206,1.7794561998746308,-0.693851552755606,-0.5288485337475084,0.027907579624008028
Kidnap,Thriller/Suspense,20170804,47.0,21000000,10016323,30718107,32719421,0.4769677619047619,1.0478607237337185,-0.501296438576983,-0.28532308839297993,-0.02408189162922436
Gifted,Drama,20170412,69.67,7000000,446380,24801212,31681993,0.06376857142857142,1.8192686048553222,-0.7387252610117436,-0.5689128318972496,-0.0572823199509207
Kickboxer:Retaliation,Action,20180126,68.0,10000000,3061,4537,31049,0.0003061,1.762442351592284,-0.6878476562042949,-0.5820498716372533,-0.08950504788651736
JohnWick:ChapterTwo,Action,20170210,0.0,40000000,30436123,92029184,171529184,0.760903075,-0.5514410148068801,-0.17907160812980794,0.31978457467340277,-0.09094347358988253
MazeRunner:TheDeathCure,Thriller/Suspense,20180126,0.0,61000000,24167011,57448833,283548833,0.3961805081967213,-0.5514410148068801,0.17707162552233296,0.13400960568147255,-0.10635017792160206
EveryDay,Drama,20180222,63.67,4900000,3016149,5630476,6340900,0.615540612244898,1.6151024254671607,-0.7743395843769577,-0.4927618943655189,-0.1447609476408349
TheLegoNinjagoMovie,Adventure,20170922,0.0,70000000,20433071,59281555,122780244,0.2919010142857143,-0.5514410148068801,0.3297044399446791,0.02336034822400044,-0.1750158784142002
Emily,Drama,20170127,70.0,27000,1164,3547,3547,0.043111111111111114,1.830497744721671,-0.8569817737858569,-0.5821060861563395,-0.19069620137686494
PeterRabbit,Adventure,20180209,0.0,50000000,25010928,93433524,119633524,0.50021856,-0.5514410148068801,-0.009479592104978939,0.15901771759696595,-0.24288517171792717
AllEyezonMe,Drama,20170616,0.0,45000000,26435354,44922302,54876855,0.5874523111111111,-0.5514410148068801,-0.09427560011739344,0.20122827245406522,-0.24326007001614314
GirlsTrip,Comedy,20170721,0.0,28000000,31201920,115108515,140798808,1.1143542857142856,-0.5514410148068801,-0.3825820273596027,0.3424777270575224,-0.24906758805143803
TheEmojiMovie,Adventure,20170728,0.0,50000000,24531923,86089513,216807482,0.49063846,-0.5514410148068801,-0.009479592104978939,0.14482318111046205,-0.271274244690935
Sleepless,Thriller/Suspense,20170112,37.67,30000000,8344128,20783704,27224309,0.2781376,0.7303823147851274,-0.3486636241546369,-0.33487587581701395,-0.2880330610035374
RedSparrow,Thriller/Suspense,20180302,0.0,69000000,16853422,31471006,83271006,0.24425249275362318,-0.5514410148068801,0.31274523834219614,-0.08271674562549435,-0.4041292677156727
TheDarkTower,Western,20170804,0.0,60000000,19153698,50701325,113018076,0.3192283,-0.5514410148068801,0.16011242391985006,-0.014551796176053783,-0.42043218323913767
CHiPS,Action,20170324,35.0,25000000,7722802,18600152,23190697,0.30891208,0.6395283649573955,-0.4334596321670514,-0.35328786437039755,-0.500506995950451
Rings,Horror,20170203,25.67,25000000,13002632,27793018,82991460,0.52010528,0.32204995600880437,-0.4334596321670514,-0.1968286633651096,-0.5050670028884663
GetOut,Horror,20170224,0.0,5000000,33377060,176040665,255090124,6.675412,-0.5514410148068801,-0.7726436642167094,0.4069344740502555,-0.5102157309230784
CaptainUnderpants:TheFirstEpicMovie,Adventure,20170602,0.0,38000000,23851539,73921000,123261024,0.6276720789473684,-0.5514410148068801,-0.21299001133477374,0.12466110448739239,-0.5151088171668691
Suburbicon,Black Comedy,20171026,48.5,10000000,2840246,5775178,10244113,0.2840246,1.098902268580759,-0.6878476562042949,-0.4979744945504554,-0.5848943767244467
TheGreatestShowman,Musical,20171220,0.0,84000000,8805843,167614558,388714558,0.10483146428571428,-0.5514410148068801,0.5671332623794396,-0.3211937004454288,-0.6266951533182981
PitchPerfect3,Comedy,20171221,0.0,45000000,19928525,104897530,184554107,0.4428561111111111,-0.5514410148068801,-0.09427560011739344,0.008408945616262306,-0.6288987236917489
Insidious:TheLastKey,Horror,20180103,0.0,10000000,29581355,67347895,165329498,2.9581355,-0.5514410148068801,-0.6878476562042949,0.29445491096739557,-0.6503788490763839
Collide,Action,20170224,37.67,29200000,1512824,2280004,5278519,0.051809041095890414,0.7303823147851274,-0.36223098543662324,-0.5373104931558729,-0.7064696569632416
AmericanMade,Thriller/Suspense,20170929,0.0,50000000,16776390,51342000,135581390,0.3355278,-0.5514410148068801,-0.009479592104978939,-0.08499946404101896,-0.7309195349938971
